film_title,category_name,rental_count
Airplane Sierra,Comedy,15
Alaska Phantom,Music,26
Alone Trip,Music,18
Alter Victory,Animation,22
Amelie Hellfighters,Music,10
Anaconda Confessions,Animation,21
Anthem Luke,Comedy,15
Arizona Bang,Classics,21
Backlash Undefeated,Children,19
Balloon Homeward,Music,23
Banger Pinocchio,Music,22
Bear Graceland,Children,22
Beast Hunchback,Classics,11
Beneath Rush,Children,10
Betrayed Rear,Children,15
Bikini Borrowers,Animation,17
Birch Antitrust,Music,11
Birdcage Casper,Music,9
Blackout Private,Animation,27
Boogie Amelie,Music,29
Borrowers Bedazzled,Animation,22
Bound Cheaper,Classics,24
Bringing Hysterical,Comedy,20
Cabin Flash,Children,15
Candidate Perdition,Classics,18
Canyon Stock,Animation,19
Caper Motions,Comedy,24
Carol Texas,Animation,18
Casper Dragonfly,Children,8
Cat Coneheads,Comedy,30
Center Dinosaur,Classics,24
Chamber Italian,Music,13
Champion Flatliners,Animation,13
Christmas Moonshine,Children,21
Circus Youth,Children,15
Clash Freddy,Animation,25
Clockwork Paradise,Children,10
Clones Pinocchio,Music,19
Closer Bang,Comedy,28
Club Graffiti,Animation,19
Clue Grail,Music,7
Color Philadelphia,Classics,24
Comancheros Enemy,Children,6
Confidential Interview,Music,29
Connection Microcosmos,Comedy,7
Conspiracy Spirit,Classics,5
Control Anthem,Comedy,7
Core Suit,Classics,18
Crazy Home,Comedy,9
Creepers Kane,Classics,14
Crooked Frogmen,Children,23
Crossroads Casualties,Animation,21
Cruelty Unforgiven,Classics,7
Daddy Pittsburgh,Comedy,13
Dares Pluto,Animation,9
Daughter Madigan,Children,9
Deer Virginian,Music,29
Desire Alien,Animation,8
Detective Vision,Classics,27
Doctor Grail,Children,7
Dogma Family,Animation,30
Donnie Alley,Animation,14
Doom Dancing,Comedy,21
Doors President,Animation,19
Dorado Notting,Music,27
Double Wrath,Animation,25
Downhill Enough,Comedy,25
Dracula Crystal,Classics,21
Driving Polish,Music,21
Duck Racer,Animation,6
Dying Maker,Comedy,17
Dynamite Tarzan,Classics,25
Early Home,Animation,7
Element Freddy,Comedy,10
Elf Murder,Music,7
Empire Malkovich,Children,21
Enemy Odds,Music,29
Extraordinary Conquerer,Classics,6
Falcon Volume,Animation,22
Fargo Gandhi,Children,24
Ferris Mother,Comedy,17
Fight Jawbreaker,Animation,22
Fireball Philadelphia,Comedy,21
Flintstones Happiness,Comedy,17
Flying Hook,Animation,20
Forever Candidate,Children,13
Forrester Comancheros,Animation,27
Freaky Pocus,Music,17
Freedom Cleopatra,Comedy,5
Frost Head,Classics,30
Full Flatliners,Children,5
Fury Murder,Children,19
Galaxy Sweethearts,Classics,18
Gangs Pride,Animation,27
Ghostbusters Elf,Animation,9
Ghost Groundhog,Children,21
Giant Troopers,Children,28
Gilbert Pelican,Classics,9
Gilmore Boiled,Classics,28
Gold River,Comedy,14
Go Purple,Music,20
Gorgeous Bingo,Children,19
